#flow size in KB,cdf value
0.148348516,0.105286344
0.306984559,0.202202643
0.639184988,0.244025439
1.438449731,0.346488951
2.79581387,0.466184514
5.300049161,0.575824563
12.4671217,0.683872812
35.66422292,0.775735177
108.7574586,0.838329137
268.1062444,0.924273373
425.4507592,1
